French,English
partie,part
histoire,history
chercher,search
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
laisse,leash
eux,them
ville,city
chaque,each
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
compris,understood
étaient,were
voici,here is
pourrais,could
affaire,case
donné,given
train,train
endroit,place
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
venez,come
devant,in front of
minutes,minutes
droit,law
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
arrêter,Stop
terre,Earth
donne,given
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
